,term,avg_similarity,total_definitions,cluster,cluster_name,tokens,types,type_to_token_ratio,cluster_name_wrapped
242,The Troubling Trio,NA,1,3,Statistical analysis and hypothesis testing,11,11,1,"Statistical analysis
and hypothesis
testing"
243,Theory,0.364973182,41,4,"Research design, validity, and theoretical frameworks",471,245,0.520169851,"Research design,
validity, and
theoretical
frameworks"
244,Theory building,0.733730861,2,2,Replication and research challenges,22,14,0.636363636,"Replication and
research challenges"
245,Transparency,0.24723026,68,4,"Research design, validity, and theoretical frameworks",990,524,0.529292929,"Research design,
validity, and
theoretical
frameworks"
246,Transparency Checklist,NA,1,2,Replication and research challenges,61,48,0.786885246,"Replication and
research challenges"
247,Triple-blind peer review,NA,1,1,Research credit,26,24,0.923076923,Research credit
248,Type I error,0.539102487,3,3,Statistical analysis and hypothesis testing,50,32,0.64,"Statistical analysis
and hypothesis
testing"
249,Type II error,0.433657722,3,3,Statistical analysis and hypothesis testing,59,47,0.796610169,"Statistical analysis
and hypothesis
testing"
250,Type M error,NA,1,3,Statistical analysis and hypothesis testing,28,20,0.714285714,"Statistical analysis
and hypothesis
testing"
251,Type S error,NA,1,3,Statistical analysis and hypothesis testing,26,19,0.730769231,"Statistical analysis
and hypothesis
testing"
252,Under-representation,0.270118185,3,4,"Research design, validity, and theoretical frameworks",44,40,0.909090909,"Research design,
validity, and
theoretical
frameworks"
253,Universal design for learning (UDL),0.49384625,39,4,"Research design, validity, and theoretical frameworks",893,326,0.36506159,"Research design,
validity, and
theoretical
frameworks"
254,Validity,0.325640867,42,4,"Research design, validity, and theoretical frameworks",514,224,0.435797665,"Research design,
validity, and
theoretical
frameworks"
255,Version control,0.244111158,4,6,"Data sharing, reproducibility, and computational tools",103,85,0.825242718,"Data sharing,
reproducibility, and
computational tools"
256,WEIRD,0.592535539,2,2,Replication and research challenges,72,59,0.819444444,"Replication and
research challenges"
257,Webometrics,0.506554114,2,6,"Data sharing, reproducibility, and computational tools",41,36,0.87804878,"Data sharing,
reproducibility, and
computational tools"
258,Z-Curve,NA,1,3,Statistical analysis and hypothesis testing,63,50,0.793650794,"Statistical analysis
and hypothesis
testing"
259,Zenodo,NA,1,5,Open science and collaborative practices,34,31,0.911764706,"Open science and
collaborative
practices"
260,i10-index,NA,1,1,Research credit,11,11,1,Research credit
261,p-value,0.581228667,3,3,Statistical analysis and hypothesis testing,101,57,0.564356436,"Statistical analysis
and hypothesis
testing"
